Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);binary;force_lj.cpp:272;79.78;28.09 [9608];28.24 [9616];28.19;
Neighbor::build(Atom&);binary;neighbor.cpp:80;10.20;3.55 [9618];3.64 [9616];3.60;
void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);binary;force_lj.cpp:272;2.63;0.63 [9618];1.83 [9608];0.93;
Integrate::initialIntegrate();binary;integrate.cpp:47;2.26;0.72 [9616];0.90 [9618];0.80;
Integrate::finalIntegrate();binary;integrate.cpp:60;1.20;0.35 [9618];0.48 [9616];0.42;
omp_get_num_procs;libgomp.so.1.0.0;;1.16;0.35 [9616];0.51 [9608];0.41;
unknown kernel region;SYSTEM CALL;;1.05;0.15 [9616];0.74 [9608];0.37;
__strncpy_sse2;libc-2.23.so;;0.45;0.63 [9608];0.63 [9608];0.16;
Comm::borders(Atom&);binary;comm.cpp:747;0.19;0.02 [9618];0.09 [9608];0.07;
Atom::unpack_reverse(int, int*, double*);binary;atom.cpp:185;0.18;0.05 [9618];0.08 [9608];0.07;
Neighbor::binatoms(Atom&, int);binary;neighbor.cpp:216;0.18;0.02 [9617];0.09 [9608];0.06;
Atom::sort(Neighbor&);binary;atom.cpp:356;0.17;0.05 [9618];0.08 [9617];0.06;
Atom::pack_reverse(int, int, double*);binary;atom.cpp:173;0.17;0.03 [9617];0.11 [9618];0.06;
Atom::pack_comm(int, int*, double*, int*);binary;atom.cpp:136;0.14;0.03 [9618];0.09 [9616];0.05;
Atom::unpack_comm(int, int, double*);binary;atom.cpp:161;0.11;0.02 [9617];0.05 [9608];0.04;
create_atoms(Atom&, int, int, int, double);binary;setup.cpp:316;0.08;0.12 [9608];0.12 [9608];0.03;
Atom::pbc();binary;atom.cpp:107;0.07;0.02 [9617];0.05 [9608];0.03;
Atom::addatom(double, double, double, double, double, double);binary;atom.cpp:88;0.01;0.02 [9608];0.02 [9608];0.01;
Atom::unpack_border(int, double*);binary;atom.cpp:217;0.01;0.02 [9618];0.02 [9618];0.01;
Atom::pack_border(int, double*, int*);binary;atom.cpp:201;0.01;0.02 [9618];0.02 [9618];0.01;
Thermo::temperature(Atom&);binary;thermo.cpp:141;0.01;0.02 [9618];0.02 [9618];0.01;
