Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);binary;force_lj.cpp:272;75.54;28.09;1.09;
Neighbor::build(Atom&);binary;neighbor.cpp:80;9.70;3.61;0.62;
void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);binary;force_lj.cpp:272;4.93;1.83;1.06;
Integrate::initialIntegrate();binary;integrate.cpp:47;2.14;0.80;3.34;
unknown kernel region;SYSTEM CALL;;1.98;0.74;4.84;
__strncpy_sse2;libc-2.23.so;;1.70;0.63;2.00;
omp_get_num_procs;libgomp.so.1.0.0;;1.37;0.51;2.62;
Integrate::finalIntegrate();binary;integrate.cpp:60;1.01;0.38;3.15;
create_atoms(Atom&, int, int, int, double);binary;setup.cpp:316;0.32;0.12;0.81;
Comm::borders(Atom&);binary;comm.cpp:747;0.24;0.09;2.30;
Neighbor::binatoms(Atom&, int);binary;neighbor.cpp:216;0.24;0.09;1.45;
Atom::unpack_reverse(int, int*, double*);binary;atom.cpp:185;0.20;0.08;2.29;
Atom::pack_reverse(int, int, double*);binary;atom.cpp:173;0.12;0.05;3.95;
Atom::pbc();binary;atom.cpp:107;0.12;0.05;2.87;
Atom::sort(Neighbor&);binary;atom.cpp:356;0.12;0.05;3.32;
Atom::unpack_comm(int, int, double*);binary;atom.cpp:161;0.12;0.05;3.51;
Atom::pack_comm(int, int*, double*, int*);binary;atom.cpp:136;0.08;0.03;0.96;
Atom::addatom(double, double, double, double, double, double);binary;atom.cpp:88;0.04;0.02;3.51;
