Loop ID;Module;Function Name;Source Info;Level;Time %;Time (s);CPI ratio;
78;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-332;InBetween;32.63;11.34;1.09;
80;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;15.88;5.52;1.78;
79;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;14.50;5.04;0.56;
81;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;14.41;5.01;1.76;
159;binary;Neighbor::build(Atom&);neighbor.cpp:168-179;Innermost;9.30;3.23;0.63;
14;binary;Integrate::initialIntegrate();integrate.cpp:50-55;Single;2.21;0.77;3.22;
15;binary;Integrate::finalIntegrate();integrate.cpp:63-65;Single;1.38;0.48;3.87;
82;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:288-290;Single;0.95;0.33;8.13;
74;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:344-344;Innermost;0.82;0.29;1.39;
157;binary;Neighbor::build(Atom&);neighbor.cpp:144-179;InBetween;0.82;0.29;0.63;
42;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-338;InBetween;0.78;0.27;0.81;
76;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:348-348;Innermost;0.74;0.26;2.52;
75;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:346-346;Innermost;0.65;0.23;2.06;
77;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:298-348;Outermost;0.61;0.21;7.76;
43;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;0.48;0.17;1.41;
44;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;0.35;0.12;1.83;
209;binary;Comm::borders(Atom&);comm.cpp:824-830;Innermost;0.22;0.08;4.05;
25;binary;Atom::unpack_reverse(int, int*, double*);atom.cpp:191-193;Single;0.22;0.08;3.40;
27;binary;Atom::sort(Neighbor&);atom.cpp:394-403;Innermost;0.22;0.08;6.58;
156;binary;Neighbor::build(Atom&);neighbor.cpp:128-299;InBetween;0.17;0.06;1.34;
21;binary;Atom::pack_comm(int, int*, double*, int*);atom.cpp:153-155;Single;0.13;0.05;1.66;
158;binary;Neighbor::build(Atom&);neighbor.cpp:150-165;Innermost;0.13;0.05;0.32;
45;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;0.13;0.05;0.85;
24;binary;Atom::pack_reverse(int, int, double*);atom.cpp:178-180;Single;0.09;0.03;1.83;
39;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:346-346;Innermost;0.04;0.02;10.53;
20;binary;Atom::pbc();atom.cpp:110-120;Single;0.04;0.02;1.75;
46;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:288-290;Single;0.04;0.02;21.05;
23;binary;Atom::unpack_comm(int, int, double*);atom.cpp:166-168;Single;0.04;0.02;1.91;
154;binary;Neighbor::binatoms(Atom&, int);neighbor.cpp:239-299;Innermost;0.04;0.02;0.23;
